,year_income,state_id,median_income
974,2009,CO,64057
975,2009,CT,74274
976,2009,DE,59686
977,2009,D.C,60863
978,2009,FL,52261
979,2009,GA,49638
980,2009,HI,63735
981,2009,ID,53575
982,2009,IL,60552
983,2009,IN,50743
984,2009,IA,58091
985,2009,KS,51215
986,2009,LA,52035
987,2009,KY,48863
988,2009,ME,54404
989,2009,MD,73513
990,2009,MA,68000
991,2009,MI,52677
992,2009,MN,64240
993,2009,MS,40175
994,2009,MO,55855
995,2009,MT,46313
996,2009,NE,56801
997,2009,NV,58908
998,2009,NH,73450
999,2009,NJ,74189
1000,2009,NM,49869
1001,2009,NY,57513
1002,2009,NC,47995
1003,2009,ND,57351
1004,2009,OH,52545
1005,2009,OK,52544
1006,2009,OR,56232
1007,2009,PA,55172
1008,2009,RI,59137
1009,2009,SC,47073
1010,2009,SD,52485
1011,2009,TN,46404
1012,2009,TX,54373
1013,2009,UT,66990
1014,2009,VT,59920
1015,2009,VA,69292
1016,2009,WA,69167
1017,2009,WV,46373
1018,2009,WI,58682
1019,2009,WY,60094
1020,2010,AL,46120
1021,2010,AK,65178
1022,2010,AZ,52839
1023,2010,AR,43477
1024,2010,CA,61162
1025,2010,CO,67866
1026,2010,CT,74361
1027,2010,DE,62211
1028,2010,D.C,64142
1029,2010,FL,49650
1030,2010,GA,49707
1031,2010,HI,67084
1032,2010,ID,53012
1033,2010,IL,57156
1034,2010,IN,51986
1035,2010,IA,55227
1036,2010,KS,51890
1037,2010,LA,44280
1038,2010,KY,46313
1039,2010,ME,54005
1040,2010,MD,72336
1041,2010,MA,68655
1042,2010,MI,52140
1043,2010,MN,58951
1044,2010,MS,42996
1045,2010,MO,51623
1046,2010,MT,46511
1047,2010,NE,59157
1048,2010,NV,57688
1049,2010,NH,75077
1050,2010,NJ,70947
1051,2010,NM,50853
1052,2010,NY,56089
1053,2010,NC,49384
1054,2010,ND,57469
1055,2010,OH,51701
1056,2010,OK,48565
1057,2010,OR,57014
1058,2010,PA,54436
1059,2010,RI,58164
1060,2010,SC,46982
1061,2010,SD,51099
1062,2010,TN,43481
1063,2010,TX,53255
1064,2010,UT,63886
1065,2010,VT,63015
1066,2010,VA,68017
1067,2010,WA,63280
1068,2010,WV,48198
1069,2010,WI,56731
1070,2010,WY,58816
1071,2011,AL,46520
1072,2011,AK,62731
1073,2011,AZ,53108
1074,2011,AR,45114
1075,2011,CA,58292
1076,2011,CO,64040
1077,2011,CT,71452
1078,2011,DE,59704
1079,2011,D.C,60350
1080,2011,FL,49267
1081,2011,GA,50216
1082,2011,HI,64496
1083,2011,ID,51839
1084,2011,IL,55310
1085,2011,IN,48547
1086,2011,IA,54853
1087,2011,KS,50406
1088,2011,LA,44410
1089,2011,KY,43534
1090,2011,ME,54279
1091,2011,MD,75232
1092,2011,MA,69156
1093,2011,MI,53390
1094,2011,MN,63156
1095,2011,MS,44882
1096,2011,MO,49998
1097,2011,MT,43994
1098,2011,NE,60748
1099,2011,NV,51384
1100,2011,NH,71960
1101,2011,NJ,68091
1102,2011,NM,45856
1103,2011,NY,55309
1104,2011,NC,49378
1105,2011,ND,61562
1106,2011,OH,48768
1107,2011,OK,52927
1108,2011,OR,56281
1109,2011,PA,54516
1110,2011,RI,53558
1111,2011,SC,43783
1112,2011,SD,51581
1113,2011,TN,46181
1114,2011,TX,53573
1115,2011,UT,60614
1116,2011,VT,56648
1117,2011,VA,68394
1118,2011,WA,62096
1119,2011,WV,45680
1120,2011,WI,56862
1121,2011,WY,59539
1122,2012,AL,46490
1123,2012,AK,68080
1124,2012,AZ,50320
1125,2012,AR,41735
1126,2012,CA,60990
1127,2012,CO,61242
1128,2012,CT,68720
1129,2012,DE,52382
1130,2012,D.C,69789
1131,2012,FL,49279
1132,2012,GA,51472
1133,2012,HI,60181
1134,2012,ID,51259
1135,2012,IL,55340
1136,2012,IN,49372
1137,2012,IA,57163
1138,2012,KS,53485
1139,2012,LA,41806
1140,2012,KY,43947
1141,2012,ME,52581
1142,2012,MD,76838
1143,2012,MA,68088
1144,2012,MI,53498
1145,2012,MN,66098
1146,2012,MS,39192
1147,2012,MO,53229
1148,2012,MT,48227
1149,2012,NE,55830
1150,2012,NV,50629
1151,2012,NH,72541
1152,2012,NJ,71336
1153,2012,NM,46448
1154,2012,NY,51000
1155,2012,NC,44446
1156,2012,ND,59649
1157,2012,OH,47465
1158,2012,OK,51778
1159,2012,OR,55380
1160,2012,PA,55518
1161,2012,RI,59969
1162,2012,SC,47493
1163,2012,SD,52856
1164,2012,TN,45989
1165,2012,TX,55542
1166,2012,UT,62403
1167,2012,VT,59452
1168,2012,VA,69132
1169,2012,WA,66517
1170,2012,WV,46586
1171,2012,WI,56775
1172,2012,WY,61517
1173,2013,AL,43616
1174,2013,AK,76387
1175,2013,AZ,55453
1176,2013,AR,42075
1177,2013,CA,64078
1178,2013,CO,71580
1179,2013,CT,73034
1180,2013,DE,57013
1181,2013,D.C,63952
1182,2013,FL,51153
1183,2013,GA,50001
1184,2013,HI,67705
1185,2013,ID,54563
1186,2013,IL,56850
1187,2013,IL,60285
1188,2013,IN,53284
1189,2013,IA,63405
1190,2013,KS,54266
1191,2013,LA,48933
1192,2013,KY,47303
1193,2013,ME,57925
1194,2013,ME,52828
1195,2013,MD,73099
1196,2013,MA,66364
1197,2013,MI,59622
1198,2013,MN,67798
1199,2013,MS,43056
1200,2013,MO,53029
1201,2013,MT,46516
1202,2013,NE,60735
1203,2013,NV,54646
1204,2013,NH,75174
1205,2013,NJ,67198
1206,2013,NM,44402
1207,2013,NY,56751
1208,2013,NC,48840
1209,2013,ND,62347
1210,2013,OH,53489
1211,2013,OK,48655
1212,2013,OR,59348
1213,2013,PA,58135
1214,2013,RI,60935
1215,2013,SC,46112
1216,2013,SD,57394
1217,2013,TN,45703
1218,2013,TX,55891
1219,2013,UT,66368
1220,2013,VT,69052
1221,2013,VA,71272
1222,2013,WA,67375
1223,2013,WV,45395
1224,2013,WI,58243
1225,2013,WY,71084
