YEAR,STATE,STATE_id,Median_Income
2006,Maryland,MD,77597
2006,Massachusetts,MA,67435
2006,Michigan,MI,59290
2006,Minnesota,MN,68508
2006,Mississippi,MS,42332
2006,Missouri,MO,54332
2006,Montana,MT,50098
2006,Nebraska,NE,58678
2006,Nevada,NV,63720
2006,New Hampshire,NH,75527
2006,New Jersey,NJ,82948
2006,New Mexico,NM,48785
2006,New York,NY,58772
2006,North Carolina,NC,48503
2006,North Dakota,ND,50027
2006,Ohio,OH,55942
2006,Oklahoma,OK,47335
2006,Oregon,OR,57393
2006,Pennsylvania,PA,59082
2006,Rhode Island,RI,65492
2006,South Carolina,SC,48284
2006,South Dakota,SD,55365
2006,Tennesse,TN,49595
2006,Texas,TX,52781
2006,Utah,UT,66579
2006,Vermont,VT,63353
2006,Virginia,VA,69615
2006,Washington,WA,66695
2006,West Virginia,WV,46824
2006,Wisconsin,WI,63001
2006,Wyoming,WY,57332
2007,Alaska,AL,50028
2007,Alabama,AK,74657
2007,Arizona,AZ,55957
2007,Arkansas,AR,48349
2007,California,CA,66054
2007,Colorado,CO,72462
2007,Connecticut,CT,76017
2007,Delaware,DE,64697
2007,DC,D.C,60186
2007,Florida,FL,54273
2007,Georgia,GA,57647
2007,Hawaii,HI,75876
2007,Idaho,ID,58291
2007,Illinois,IL,62228
2007,Indiana,IN,56239
2007,Iowa,IA,57964
2007,Kansas,KS,57477
2007,Lousiana,LA,48963
2007,Kentucky,KY,46757
2007,Maine,ME,56762
2007,Maryland,MD,77782
2007,Massachusetts,MA,69288
2007,Michigan,MI,58511
2007,Minnesota,MN,68808
2007,Mississippi,MS,44182
2007,Missouri,MO,54523
2007,Montana,MT,51738
2007,Nebraska,NE,58279
2007,Nevada,NV,64067
2007,New Hampshire,NH,80088
2007,New Jersey,NJ,71712
2007,New Mexico,NM,52569
2007,New York,NY,58007
2007,North Carolina,NC,51570
2007,North Dakota,ND,55946
2007,Ohio,OH,58190
2007,Oklahoma,OK,51218
2007,Oregon,OR,59538
2007,Pennsylvania,PA,57406
2007,Rhode Island,RI,64248
2007,South Carolina,SC,52400
2007,South Dakota,SD,55013
2007,Tennesse,TN,48823
2007,Texas,TX,54580
2007,Utah,UT,63440
2007,Vermont,VT,56165
2007,Virginia,VA,70115
2007,Washington,WA,68834
2007,West Virginia,WV,49885
2007,Wisconsin,WI,60771
2007,Wyoming,WY,57769
2008,Alaska,AL,50761
2008,Alabama,AK,73032
2008,Arizona,AZ,53544
2008,Arkansas,AR,45180
2008,California,CA,65071
2008,Colorado,CO,69556
2008,Connecticut,CT,73823
2008,Delaware,DE,57867
2008,DC,D.C,63446
2008,Florida,FL,51196
2008,Georgia,GA,52760
2008,Hawaii,HI,70215
2008,Idaho,ID,54121
2008,Illinois,IL,60780
2008,Indiana,IN,53094
2008,Iowa,IA,57228
2008,Kansas,KS,54643
2008,Lousiana,LA,45154
2008,Kentucky,KY,46963
2008,Maine,ME,53902
2008,Maryland,MD,72715
2008,Massachusetts,MA,68845
2008,Michigan,MI,56824
2008,Minnesota,MN,62687
2008,Mississippi,MS,41597
2008,Missouri,MO,52544
2008,Montana,MT,48963
2008,Nebraska,NE,57897
2008,Nevada,NV,62481
2008,New Hampshire,NH,75528
2008,New Jersey,NJ,74535
2008,New Mexico,NM,48052
2008,New York,NY,57592
2008,North Carolina,NC,48997
2008,North Dakota,ND,56645
2008,Ohio,OH,53567
2008,Oklahoma,OK,52627
2008,Oregon,OR,59037
2008,Pennsylvania,PA,58666
2008,Rhode Island,RI,60765
2008,South Carolina,SC,48112
2008,South Dakota,SD,58892
2008,Tennesse,TN,45313
2008,Texas,TX,53060
